-6.000000e-01,-9.999853e-05
-0.4855,-6.158321e-05
-0.3715,-7.258423e-06
-0.257,-3.340143e-07
-0.143,3.437565e-07
-0.0285,3.689954e-07
0.0855,3.716622e-07
0.2,3.8406e-07
0.3145,4.288493e-07
0.4285,4.479335e-07
0.543,4.570956e-07
0.657,4.683287e-07
0.7715,4.948576e-07
0.8855,5.381638e-07
1.0,5.963992e-07
1.1145,6.654641e-07
1.2285,7.38418e-07
1.343,8.204962e-07
1.457,9.125948e-07
1.5715,1.005022e-06
1.6855,1.214284e-06
1.8,1.496989e-06
1.9145,1.906103e-06
2.0285,2.062271e-06
2.143,2.221058e-06
2.257,2.380173e-06
2.3715,2.54105e-06
2.4855,2.702709e-06
2.6,2.865691e-06
2.7145,3.030105e-06
2.8285,3.194823e-06
2.943,3.36127e-06
3.057,3.52738e-06
3.1715,3.695376e-06
3.2855,3.863227e-06
3.4,4.032363e-06
3.5145,4.202289e-06
3.6285,4.372227e-06
3.743,4.543546e-06
3.857,4.713838e-06
3.9715,4.880525e-06
4.0855,5.059589e-06
4.2,5.23386e-06
4.3145,5.409108e-06
4.4285,5.57966e-06
4.543,5.762207e-06
4.657,5.940638e-06
4.7715,6.120651e-06
4.8855,6.301918e-06
5.0,6.48671e-06
