"""-1.100000e-03,-8.819101e-05"""
"""-0.00085,-8.357578e-05"""
"""-0.0006,-6.67409e-05"""
"""-0.00035,-4.350728e-05"""
"""-0.0001,-2.258977e-05"""
"""0.0001,2.623819e-06"""
"""0.00035,3.645201e-05"""
"""0.0006,4.932138e-05"""
"""0.00085,6.348051e-05"""
"""0.0011,8.695616e-05"""
