"""0.000000e+00,1.546326e-06"""
"""9.2,2.024756e-06"""
"""18.35,2.313288e-06"""
"""27.55,2.545495e-06"""
"""36.75,2.733552e-06"""
"""45.9,2.923267e-06"""
"""55.1,3.08488e-06"""
"""64.3,3.263187e-06"""
"""73.45,3.413859e-06"""
"""82.65,3.571663e-06"""
"""91.85,3.708026e-06"""
"""101.0,3.842838e-06"""
"""110.2,3.979607e-06"""
"""119.4,4.126062e-06"""
"""128.55,4.261813e-06"""
"""137.75,4.414672e-06"""
"""146.95,4.544346e-06"""
"""156.1,4.671397e-06"""
"""165.3,4.824944e-06"""
"""174.5,4.967768e-06"""
"""183.65,5.090695e-06"""
"""192.85,5.223503e-06"""
"""202.05,5.352504e-06"""
"""211.2,5.506506e-06"""
"""220.4,5.651029e-06"""
"""229.6,5.793559e-06"""
"""238.8,5.920172e-06"""
"""247.95,6.049266e-06"""
"""257.15,6.211823e-06"""
"""266.35,6.37746e-06"""
"""275.5,6.516271e-06"""
"""284.7,6.676924e-06"""
"""293.9,6.838062e-06"""
"""303.05,6.971535e-06"""
"""312.25,7.132043e-06"""
"""321.45,7.310653e-06"""
"""330.6,7.536834e-06"""
"""339.8,7.720641e-06"""
"""349.0,7.960138e-06"""
"""358.15,8.129108e-06"""
"""367.35,8.396009e-06"""
"""376.55,8.752636e-06"""
"""385.7,1.049983e-05"""
"""394.9,0.0001889664"""
"""404.1,0.0002499875"""
"""413.25,0.0002499925"""
"""422.45,0.0002499921"""
"""431.65,0.0002499934"""
"""440.8,0.0002499942"""
"""450.0,0.0002499953"""
