"""-1.000000e-03,-1.826552e-05"""
"""-0.0005,-5.61848e-05"""
"""-0.0005,-3.993749e-05"""
"""0.0,2.913064e-06"""
"""0.0,5.785208e-06"""
"""0.0,5.903525e-06"""
"""0.0005,0.0001000012"""
"""0.0005,8.480985e-05"""
"""0.001,8.891014e-05"""
"""0.001,8.777336e-05"""
