"""-1.000000e-03,-5.232080e-06"""
"""-0.001,-9.178623e-05"""
"""-0.0005,-4.85375e-05"""
"""-0.0005,-3.510979e-05"""
"""0.0,3.472162e-06"""
"""0.0,5.504636e-06"""
"""0.0005,0.0001000014"""
"""0.0005,8.523335e-05"""
"""0.001,8.725238e-05"""
"""0.001,9.079197e-05"""
