-1.000000e+00,-9.999871e-05
-0.793,-9.999878e-05
-0.586,-9.99987e-05
-0.3795,-8.344687e-06
-0.1725,2.877099e-07
0.0345,3.522765e-07
0.2415,3.785539e-07
0.4485,4.336915e-07
0.655,4.531105e-07
0.862,5.120307e-07
1.069,6.209524e-07
1.276,7.568182e-07
1.483,9.2028e-07
1.6895,1.21203e-06
1.8965,1.863817e-06
2.1035,2.148303e-06
2.3105,2.437477e-06
2.517,2.730041e-06
2.724,3.026075e-06
2.931,3.326262e-06
3.138,3.629124e-06
3.345,3.933793e-06
3.5515,4.240432e-06
3.7585,4.549539e-06
3.9655,4.861237e-06
4.1725,5.175296e-06
4.3795,5.492059e-06
4.586,5.812144e-06
4.793,6.137645e-06
5.0,6.469515e-06
