"""-1.000000e-02,-9.999862e-05"""
"""-0.008,-9.999461e-05"""
"""-0.0055,-9.975979e-05"""
"""-0.0035,-9.903469e-05"""
"""-0.001,-6.871226e-05"""
"""0.001,7.566373e-05"""
"""0.0035,9.882366e-05"""
"""0.0055,9.970679e-05"""
"""0.008,9.998967e-05"""
"""0.01,0.0001000016"""
